Product_name,SKU,Price,Subject,Date,Review,Stars,like,dislike
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Powerful,"December 22, 2020",Weve toilet couple week work fine flush action powerful Dont know work flush sound like water push force suck well installed tank bolt didnt lineup perfectly bowl think everything ready test leak little one bolt Loosening bolt wiggle little resolve problem problem since decide replace remain chair height toilet comfort height one buy one,5,14,2
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,DO NOT buy the Mansfield Summit Toilet,"October 21, 2022",purchase three Mansfield Summit toilet professionally instal contractor triple check everything evening three leak tank bowl call contractor say concern design cheap plastic bolt provide returned next day well bolt washer didnt fix problem bolt hole smooth allow flush pun intend fit replace three American Standard toilet Mansfield go pay contractor Absolutely ridiculous faulty manufacturing go cost double installation Bottom line save headache BUY wish read one star review address problem purchase,1,0,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,,"September 17, 2022",purchase toilet yesterday instal morning wax seal leak tank bolt leak replaced wax seal include toilet use rubber type Fluidmaster doesnt leak replace leak bolt tank bolt seal kit True Value Hardware store glad toilet make America However two place new toilet leak work Commercial Facilities 35 year plumb work include toilet repair replacement hopeful Mansfield read review Please improve seal kit provide toilet,3,2,1
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Badly Designed,"November 18, 2022",Like reviewer buy make US assume itd wellmade product license plumber toilet wont stop leaking tank hole misalign base hardware attach base junk replace hardware still leak Hes 2nd trip plumbing store someone spend hour research item make US pay sad day import well quality US product cant wait see install bill since plumber basically rebuild toilet,1,1,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,,"November 30, 2021",product defective box Toilet seat broken screw hole drill correctly professional plumber pay take apart three time leaked way wouldnt leak tilt tank back ward say temperary fix would leak lid tank sit level Lowes help Basically say couldnt return ready instal id Lowes installaion would warranty year way get money never Lowes stand product take another chance ever Poorly make toilet poor customer service Lowes,1,6,3
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Complete tank kit already assembled is a big plus!,"August 16, 2021",plumber recommend toilet 3bolt tank bowl system height perfect although lid feel narrow still give 5 Normally wouldnt long wasnt dealbreaker right,5,2,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Leaks,"January 2, 2022",worked construction field 35 year Residential commercial would like avoid problem dont worth hassle Leaks bottom tank right box try everything know even couple friend plumber take turn still Leaks thank God didnt pay different brand youl well let come contact construction field stay away product,1,2,3
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Strong flush,"November 6, 2021",Im extremely happy toilet previous toilet old ugly poor flush Mansfield toilet instal downstairs year back replace upstairs want toilet newer one even well,5,4,2
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Mansfield toilet,"February 4, 2021",love extra 2 3 inch heighthI seni0r citizenThat extra heighth make much easy get toilet,4,12,1
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Leaks Leaks and more Tank Leaks,"November 27, 2022",Let start say installed 20 toilet throughout year never issue fight toilet two week instal matter leak even go bought separate tank seal tank bolt still leak replacement part finally call Lowes store take back American Standard replacement never buy brand,1,3,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Decent toilet once installed.,"February 4, 2022",toilet toilet long flushes power stuff go drain without clog do job However toilet installs create equal buy toilet make US figure would great quality didnt check review toilet QC issue include hardware shoddy bolt hold tank rubber peg seem ok first even tighten leak Also hole base tank peg alligned perfectly contribute leak end instal tank twice second time put wax leave wax ring around peg seat tank water proof resolve leak install second shoddy piece seat bolt didnt properly align hole base sure long take hinge crack installed toilet toilet thing would expect installation save headache go different brand,2,5,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Toilet kit!,"July 30, 2021",issue return toilet seal buy one include everything need job Great packaging easy install,5,5,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Make sure you look at the boxes carefully.,"November 5, 2021",Well build TOILET cheap seat stay tight make difficult keep seat upright u stand relieve Everything kit flush quickly effectively without swirl effect careful select 10 12 12 common chose elongate high rise toilet nice difference 1214 high unit round bowl,4,3,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,"Nice toilet, good flushing action.","November 12, 2021",Flushes well price weight chain need quick flush stop quick Need long one hold extra second,5,5,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Suspected Manufacturing Defect,"June 23, 2022",Installed test leaked tank bowl bolt connection three bolt connection find bolt hole would align correctly tank bowl appear manufacture defect way get three bolt instal required one misalign meant rubber seal would work correctly Ended return entire unit replace different brand slightly high price issue new unit,1,2,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Toilet and Installation,"March 31, 2023",Toilet perfect height flush mechanism save money amount water need installation another matter would never use specific installer Lowes send unprofessional Could find proper installation equipment leave another job husband find equipment already go back Lowes apply toilet seat sideways lastly amount charge installation way price think long hard buying use Lowes installers think change standard since patio door instal year ago 5 star product installation bad,3,0,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Some concerns...,"January 25, 2023",internal component cheap surprising give price toilet overall great design look Ill replace fill valve flapper pretty immediately main concern rubber donut tank bowl seem leak matter tight screw screw guess Ill put clear silicone get stop leaking,3,0,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Issues,"April 1, 2023",toilet purchase sit level level floor flapper firm slam thud flushing process loud seem new 128 gallon toilet louder general due design force require evacuate solid less water return Lowes American Standard 88575 Glad,1,0,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,"Good comfortable toilet, great flush","February 20, 2022",replace low 1970s harvest gold toilet disable mom pick Mansfield Summit chair height elongate bowl base footprint furnace register behind toilet toilet wont fit Installation go without hitch Mom find easy get important part Im 65 300 lb man find added height welcome foot longer fall asleep sit pot Also flush handle whatever throw without problem around work know cause plumbing problem,5,0,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,"efficient, powerfull, economical flusher","January 22, 2022",Overall Im really happy fixture choose similar model name American make nicely price like 3 rigid flapper replaceable silicone rubber seal lot close slight bang flush amazingly powerful especially consider efficiency think soft rubber universal replacement flapper would make quiet powder room noise issue like 3 tank bolt instead 2 patented bolt design strange still like good Kohlers 3boltfunky seal design need lot torque must methodical tighten gradually alternate pattern like lug nut documentation indicate correct order learn rush step leak Look stray bit loose glaze tank box make sure none fill valve connect supply preassemble tank component require adjustment seat seem cheap job break,5,3,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Good replacement toilet with cheap seats,"July 13, 2021",like design toilet set back front great one tiny bathroom purchase two toilet room behind like room clean therel tank small fit right next wall One previous toilet set several inch away wall design outside look like easy clean keep clean well flush sound strong seem rinse toilet bowl well flush loud make pretty good thunk stopper drop place chain need adjust one break thin flushing handle seem cheap flimsy slowclose seat plastic lightweight take forever close keep come loose replace money spent seem china part toilet lightweight chain flimsy feel flush handle cheap lightweight seat disappoint,4,5,2
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,my notes to Mansfield awaiting reply BEWARE!,"October 23, 2021",purchase two Mansfield summit elongate toilet Lowes day ago part large project include 2500 dollar worth luxury vinyl plank floor small condo One instal upstairs Stop leaking tank bowl twice professionally instal turned water flush empty USABLE RUIN FLOORS downstairs toilet also leak replace another brand get upstairs toilet stair refinish contractor research find appear common tank bowl issue disable required PAY REMOVAL RETURN well purchase another brand work properly Please tell company deal issue consumer Ive see type notation internet Another 250 buck lot money,1,8,6
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Very hot or miss on this toilet - avoid,"August 28, 2021",first toilet buy completely broken box return second toilet take plumber hour install tank start leak Plumber come back next day say tank construction defective tank seal would never able job Plumber bring western toilet instal start begin,1,3,1
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,leaking tank,"June 23, 2022",complete total finished basement install toilet pretty much last thing do contractor wish read review purchase toilet leak bolts base tank brand new floor water also baseboard plumber come back look seem like poor product Im sure able repaired recourse construction company purchase toilet bathroom fixture,1,0,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Tough Installation,"October 7, 2021",3 fastener hold tank base instal tank leak fastener 12 oclock position drain remove tank Checked crack find none reassembly leak fastener 1 oclock position Drained inspected bolt plastic dip deform instruction show part number fastener Lowes manufacture help Wound use plumber putty seal leak,4,1,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,May be a fluke but...tank won't seat properly.,"October 4, 2021",tank wont seat properly try 6 time seat still leaks guess buy 150 toilet get 150 toilet American standard wouldve twice much guess wouldve work right first time,1,4,1
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Great quality for the price,"March 12, 2022",state review toilet strong flush commercial operation opt adjust float downward allow water per flush do easily remove plastic keeper chain move float low position reinstall keeper Overall nice toilet instal many facility havent problem include seat plastic work fine sturdy solid seat note careful overtighten mount bolt break,5,0,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Toilet seat included,"September 21, 2021",GOOD price include toilet seat add bonus,5,0,1
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,It flushes,"August 24, 2022",toilet make flush properly,5,0,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Toilet,"July 19, 2022",Cheap seatlid,4,0,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Mansfield Summit Toilet,"March 2, 2022",Purchased 2 Summit toilet One fine toilet miss seat bolt tank bolt hole even close line bowl bolt hole full one inch return one,2,2,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Quality Built,"July 11, 2021",receive toilet day ago instal yet open packaging instruction tell quality product instal several toilet especially like fact come seat wax ring include Toilets usually easy install anticipate problem install,4,4,3
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Packing,"November 18, 2022",pack handle toilet subpar Returned first one base crack Second one hairline crack also,1,2,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Doesn't flush all the way,"September 27, 2021",toilet flapper weight ball flush flapper slam shut less 2 second cause incomplete flush flush immediately stop flush urinate flush still urine leave unflushed poop bit poop leave Also flush loud sound jet water follow loud THUD flapper close hard sorry buy previous toilet Mansfield tower flapper work well,2,1,3
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Tank leaks at bowl,"June 11, 2022",key reading 1 star rating 5 star wasnt expect issue soon open box part check find everything include clean old wax seal surround floor instal new wax seal mount bolt bowl Perfect Installed tank seal set tank bowl place tank bowl bolt 3 location back position last noticed rear hole didnt line like 2 front Went ahead wiggle jiggle tighten way wobble must imagination Hooked water line could stand water start splash onto floor turn water flush empty tank stop leak Wiped floor sponge drain tank water still drip Removed 3 bolt look bottom tank crack extra material anything wouldnt allow seal nothing Set tank back base repeat result water leak onto floor Time go buy Another new toilet Lowes review see Lowes refund since didnt install Maybe wont use Lowes next time,1,2,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Mansfield Drip,"October 22, 2021",Bought two contractor install One tank crack seam obvious fill water water brand new luxury vinyl floor tank upstairs instal properly leak slightly every flush sure malfunction toilet Either design flaw manufacturing quality defect,2,2,1
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Works great and looks very nice for a value toilet,"December 4, 2022",value toilet really nice look toilet would give 5 star leave toilet seat bolt go hardware store closer less hassle complete set suppose complete set bolt get hardware store dont exactly fit Ill go get another set hassle recommend toilet price 100 dont surprise make run store Function good wife say power remind nice hotel toilet,4,0,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,,"April 23, 2021",stable good look toilet good flush,5,3,2
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Highly recommend,"October 13, 2021",husband purchase toilet elderly parent rush make purchase need right away initially use google recommendation purchase one make Delta Immediately notice water flow flush poor call Delta tell aware issue multiple flush frequent cleaning recommend start research replace Mansfield Summit solution Installation standard flush exactly expect one flush solids parent pleased Cons seat come poorly construct disappointment need replace Im kid bad Also Mansfield package toilet upside dont thrown open box way make USA happy,5,1,1
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Won't stop running!,"January 17, 2022",bought toilet replace one would intermittently fill tank small leak couldnt find one thing sort float device flapper chain might culprit there nothing instruction adjust Looks like money save buying cheap toilet go towards new improved water bill,1,1,1
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Toilet1,"February 27, 2023",like taller toilet previous great knee toilet use less water,5,1,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Nice!,"September 19, 2021",like look toilet online work well u Others mention loudness flush louder old toilet dont find really loud tall husband didnt like plastic toilet seat flex get hard wooden toilet seat replace one come happy toilet,5,1,1
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Toilet = Good. Seat = Trash.,"September 10, 2021",Good overall toilet toilet seat come stay man big problem soon push begin fall immediately put shim make toilet level nothing even drill new hole back toilet seat anchor help push seat forward didnt help either toilet fine seat big problem annoying,3,0,1
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Use plumbers putty,"April 18, 2023",like others mention bolt hole tank line hole bowl Thankfully expect use generous amount plumber putty around bolt work great like tall toilet Also aware top lid tank isnt perfectly flat spouse like decorate everything ideal set art craft lol,3,0,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Don't buy Manfield products.,"September 17, 2021",tank cast flaw third plumber hire find never buy mansfield product Turned expensive toilet write Mansfield never reply,1,2,3
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Does not flush well,"December 18, 2022",toilet flush fast loud completely finally get master bath redone floor toilet instal disappointed half flush leave remnanants toilet today didnt flush try clear poured water wont even flush force water would recommend saw add photo would gross,3,0,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Quality-American Made-Great Instructions,"August 19, 2021",Qualiry product purchase an instal toilet new bath addition Bought becuase Americanmade price competitive Instructions easy read an follow update time issue,5,1,1
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Design and quality problems,"November 13, 2022",really want like MadeInUSA toilet turn problematic toilet Ive ever instal Ive probably instal around 20 last 20 year handle first one defect cause handle stick hold flapper open lift handle back make close get another toilet handle work fine donut go tank bowl make stiffer rubber toilet Ive instal stiffness appear cause donut leak purchase market donut squishy like normal leak stop tank bolt weird design seal integral bolt One three bolt keep leak switched standard design separate bolt washer fine waste lot time toilet,2,0,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Tank leaks,"June 25, 2022",tank leak connect site instal new floor finish new toilet tank leak Called plumber back twice tighten connector still leak Third time go back Lowes buy big washer plumber come install toilet go 14900 20000 buy kohler,1,0,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Hope that it works like it should !,"March 22, 2022",Toilet good easy install problem filler valve defective 2 flush tap fall fill tank tell lowes store buy wouldnt switch valve would return whole unit also tell Lowes accept toilet instal Figure,4,0,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Decent toilet but has few issues,"January 17, 2022",nice toilet look nice sleek generally happy purchase thing pose issue First bolt hold toilet tank bowl washer bolt use standard seem repair kit go figure rather bolt rubber head difficulty two three bolt leak loosen reset tighten really torque bolt point afraid would crack porcelain dont know change old rubber washer separate bolt Ive never issue style leak past Second fill valve although Fluidmaster reputable brand pop second day install heard horrific noise go bathroom see happen think pipe burst find toilet water run Lifting lid find noise cause top fill valve give way hit toilet tank cover continually fill Apparently less quality fill valve include purchase another add 20 original cost toilet Third flapper include horrible bottom make plastic rubber consequently flap close make LOUD slap sound replace along fill valve include Fluidmaster Repair Kit purchase silent close lid sound flapper close loud toilet seat drop Makes sense imagine cheap low quality fill valves come toilet Please either supply quality kit toilet raise price dont supply low price toilet quite year since purchase new toilet realize make conserve water point flush toilet three time order completely empty toilet general toilet Personally Im design function convenient everything supply installation still aggravate go back store replace inferior quality fill valve flap water conservation feature something live since seem standard Take away hold onto old toilet long price go quality go,3,1,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,no soft close seat? come on,"May 22, 2021",2021 people throw quiet closeslow close seat cry loud want seat slam shut every time get program Mansfield Im go back Kohler next build,3,3,13
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Excellent product for the price!,"December 26, 2022",take couple trip back Lowes buy jumbo toilet ring base slightly recess thought would proactive Took longer expect skilled handyman around However work excellent look good best yet make America Would recommend Mansfield product,5,0,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Bad Flapper!,"October 9, 2022",Everything fine far except provide tank flapper heavy reseats immediately tank slightly empty unless stand hold lever Im go replace tank part get around ridiculous oversight Would purchase model know,4,0,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Modern commode,"July 13, 2021",Sleek modern design compare decade old commode Bought online pick shortly thereafter curbside pickup Good price great service Lowes,5,1,2
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,What they said...plus my installation suggestions,"August 4, 2021",Made USA great product happy Bought 2 house 3 toilet wife primarily use 2 want wouldnt flop onto short one tall read comment agree let offer suggestion 95 pound buy online someone would deliver car Lowes home open box driveway carry two piece rather try lug 95 pound box myselfThe bottom still heavy hard back New appreciation plumber Regarding flange bolt long correct need cut remove current toilet clean area notice bolt cut instal originally 1992 reuse need cut one come toilet instruction talk waterline tank inside tank white tube middle tank Instructions say dont use galvanize hosesthey talk new braid metal hose ok use dont crank tank water go flush bit different use socket 3 plastic nut hold tank place Allow extra time removal old one clean area new installation Removing old one reverse step follow new installation except scoop water case footprint old toilet big new one quick floor sand stain seal two small place line area paper towel spot leaks 3 day Scraper tool helpful old wax removal Mansfield Customer Support call back right away couldnt find water line inside tank talk technician saw tube,5,2,2
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Great Toilet for New Basement Bathroom,"September 26, 2022",Great toilet good value Got round bowl tiny basement bathroom addition Installs easy flush great Best make USA sure reviewer complain leak properly instal follow easy understand direction issue,5,0,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Cheap/weak hardware,"February 20, 2023",One bolt hold toilet floor snap two FINGER tighten Didnt even touch wrench Extremely cheap hardware go store spend extra money buy new bolt plus new wax ring finish install Would recommend,2,0,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,don't buy this one,"October 3, 2022",leak pre assemble tank gasket return get another one second one leak tank bolt hole hole line hole bowl matter leak ive instal least 50 tank lifetime,1,0,0
Mansfield Summit White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In (ADA Compliant),Model #5384CTK,209.0,Made in USA toilet,"March 28, 2023",Everything box well package Installation fairly easy little trouble get tank bowl connection leak wasnt tighten plastic nut enough far flush well plug Overall Im happy toilet,5,0,0
